uor;prefixo;subordinada;nome_dependencia;nome_municipio;uf;lote;predio_nash
6374;0982;00;SAO JOSE DOS PINHAIS;SAO JOSE DOS PINHAIS        ;PR;4;ed664a5d84ad
80193;6589;00;ALTO DA BOA VISTA-SP;SAO PAULO                   ;SP;4;edb19baba017
24990;4477;00;JARDIM OCEANICO     ;RIO DE JANEIRO              ;RJ;4;edcb62cae67d
14529;3166;00;ITUPEVA             ;ITUPEVA                     ;SP;5;eeedddba7800
75107;4883;00;ESTILO P.REPUBLICA  ;BRASILIA                    ;DF;88;ef70cebd7e35
615;0027;00;JAU                 ;JAU                         ;SP;3;efe0dca6d190
14193;3074;00;BATISTA CAMPOS      ;BELEM                       ;PA;5;f003170f5d52
14676;3204;00;EMPRESA MANAIRA     ;JOAO PESSOA                 ;PB;5;f018bd8ef60f
2167;0182;00;IRATI               ;IRATI                       ;PR;5;f04efaa07050
17166;4060;00;BERILO              ;BERILO                      ;MG;6;f0643c807889
6624;1052;00;CUPIRA              ;CUPIRA                      ;PE;5;f07119ad9df1
14713;3211;00;SANTA HELENA        ;SETE LAGOAS                 ;MG;5;f118ff361054
450054;9106;00;ESCR.EXC.F.SANTANA  ;FEIRA DE SANTANA            ;BA;88;f11a735e3e95
80123;6519;00;BARAO DE JUNDIAI    ;JUNDIAI                     ;SP;3;f16c63983963
80256;6652;00;RUA QUINZE-MOGI     ;MOGI-GUACU                  ;SP;5;f17ac39c0654
10899;2094;00;GUARAI              ;GUARAI                      ;TO;5;f1b5be64a8c2
5895;0869;00;RIBEIRAO PIRES      ;RIBEIRAO PIRES              ;SP;5;f1dedf999836
2812;0283;00;JANUARIA            ;JANUARIA                    ;MG;5;f22cf8a2b915
3481;0376;00;ITUMBIARA           ;ITUMBIARA                   ;GO;3;f2b05f5c69cb
5175;0711;00;STA.CRUZ CAPIBARIBE ;SANTA CRUZ DO CAPIBARIBE    ;PE;5;f2e3b5d6754e
15283;3361;00;SAO JOSE            ;ARACAJU                     ;SE;5;f35ca5694813
